x,v3,v4,v6,v8,v9,v10,v11,v12,v13
-1,0.992261136609641,0.970770909828209,1.05011925952024,1.04514588896657,1.04207068483198,1.05237728614818,1.05434378999838,1.04881771842078,1.02864745728108
-0.9,0.995009168857576,0.975277530689953,1.05137414371146,1.04636626023647,1.04308454632072,1.05289847435851,1.05443650430532,1.04900055151899,1.02943001700083
-0.8,0.997729865622545,0.979740249392104,1.05261646417272,1.04757446186355,1.04408827057528,1.0534143856036,1.05452814748102,1.04918143817459,1.03020470159613
-0.7,1.00042379186032,0.984159976096028,1.05384647833303,1.04877074254814,1.04508206402994,1.0539251252833,1.05461873702426,1.04936041431344,1.03097167014649
-0.6,1.00309151264647,0.988537620639031,1.05506444387977,1.04995535124186,1.04606613342253,1.05443079922816,1.05470829107546,1.0495375164229,1.03173108216185
-0.5,1.00573359314161,0.992874092525799,1.05627061870969,1.05112853709717,1.04704068574068,1.05493151363725,1.054796828345,1.04971278148334,1.03248309752312
-0.4,1.00835059855783,0.997170300919788,1.05746526088135,1.0522905494185,1.04800592816953,1.05542737501768,1.05488436804334,1.04988624690152,1.03322787642462
-0.3,1.01094309412616,1.00142715463459,1.05864862856892,1.05344163761472,1.04896206804105,1.05591849012586,1.05497092981319,1.05005795044579,1.03396557931803
-0.2,1.01351164506522,1.00564556212524,1.05982098001748,1.0545820511532,1.04990931278486,1.05640496591048,1.05505653366342,1.05022793018311,1.03469636685812
-0.1,1.01605681655075,1.00982643147952,1.06098257349968,1.05571203951522,1.05084786988065,1.05688690945722,1.05514119990503,1.05039622441794,1.03542039985013
0,1.0185791736863,1.01397067040924,1.0621336672737,1.05683185215283,1.05177794681197,1.05736442793509,1.05522494908891,1.05056287163292,1.03613783919872
0.1,1.02107928147476,1.01807918624145,1.06327451954265,1.05794173844709,1.0526997510216,1.05783762854454,1.0553078019455,1.0507279104314,1.03684884585862
0.2,1.02355770479092,1.0221528859097,1.06440538841529,1.05904194766769,1.05361348986838,1.05830661846718,1.05538977932641,1.05089137948179,1.03755358078683
0.3,1.0260150083549,1.02619267594529,1.06552653186796,1.06013272893388,1.05451937058542,1.05877150481717,1.05547090214789,1.05105331746367,1.03825220489643
0.4,1.02845175670646,1.03019946246845,1.06663820770794,1.06121433117684,1.0554176002398,1.05923239459428,1.05555119133617,1.05121376301578,1.038944879012
0.5,1.03086851418024,1.03417415117961,1.067740673538,1.06228700310327,1.05630838569368,1.05968939463861,1.0556306677747,1.05137275468579,1.03963176382654
0.6,1.03326584488176,1.03811764735063,1.06883418672224,1.06335099316036,1.0571919335668,1.06014261158693,1.05570935225332,1.05153033088187,1.04031301986
0.7,1.03564431266432,1.04203085581607,1.06991900435321,1.06440654950199,1.0580684502004,1.06059215183061,1.05578726541923,1.05168652982603,1.04098880741935
0.8,1.03800448110664,1.04591468096448,1.07099538322018,1.06545391995631,1.05893814162249,1.06103812147526,1.0558644277299,1.05184138950935,1.04165928656014
0.9,1.04034691349138,1.04977002672974,1.07206357977878,1.0664933519945,1.0598012135145,1.06148062630192,1.05594085940788,1.05199494764887,1.0423246170496
1,1.04267217278433,1.05359779658236,1.0731238501217,1.0675250927008,1.06065787117932,1.06191977172986,1.05601658039738,1.05214724164641,1.0429849583313
